steppe,steppe,steppe,steppe,steppe,steppe,steppe,mountains,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,mountain_forest,mountain_forest,mountain_forest,mountain_forest
steppe,steppe,steppe,steppe,steppe,steppe,steppe,mountains,mountains,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,mountain_forest,mountain_forest,chernozem,chernozem,mountain_forest
steppe,steppe,steppe,steppe,steppe,mountains,desert,steppe,mountains,mountains,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,mountain_forest,chernozem,chernozem,chernozem,mountain_forest
steppe,steppe,steppe,mountains,mountains,mountains,desert,steppe,mountains,mountains,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,mountain_forest,mountain_forest,chernozem,chernozem,chernozem,mountain_forest
mountains,mountains,mountains,mountains,mountains,mountains,mountains,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,steppe,mountain_forest,plains,plains,plains,mountains,mountain_forest
mountains,mountains,mountains,desert,desert,desert,desert,desert,steppe,steppe,tibet,tibet,steppe,steppe,steppe,loess_plateau,temperate_river_valley,temperate_river_valley,loess_plateau,temperate_river_valley,temperate_river_valley,plains,plains,mountains,mountains,sea
tibet,peaks,desert,desert,desert,desert,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tibet,steppe,loess_plateau,temperate_river_valley,temperate_river_valley,loess_plateau,temperate_river_valley,temperate_river_valley,sea,sea,sea,plains,mountains
peaks,tibet,peaks,peaks,peaks,peaks,peaks,peaks,peaks,peaks,peaks,peaks,tibet,tibet,mountains,loess_plateau,temperate_river_valley,loess_plateau,temperate_river_valley,temperate_river_valley,temperate_river_valley,temperate_river_valley,sea,sea,sea,plains
plains,peaks,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tibet,mountains,mountains,mountains,mountains,temperate_river_valley,temperate_river_valley,temperate_river_valley,tropical_river_valley,sea,sea,sea,sea
plains,plains,peaks,peaks,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tibet,tropical_river_valley,tropical_river_valley,mountains,mountains,tropical_river_valley,tropical_river_valley,tropical_river_valley,tropical_river_valley,tropical_river_valley,sea,sea,sea
plains,plains,plains,peaks,peaks,peaks,peaks,tibet,peaks,peaks,peaks,tibet,tibet,tibet,tropical_river_valley,tropical_river_valley,mountains,hills,tropical_river_valley,tropical_river_valley,mountains,mountains,hills,sea,sea,sea
plains,plains,plains,plains,plains,plains,peaks,peaks,peaks,hills,hills,hills,tibet,mountains,mountains,mountains,mountains,hills,hills,mountains,mountains,hills,sea,sea,sea,sea
plains,plains,plains,plains,plains,plains,plains,tropical_river_valley,tropical_river_valley,hills,hills,hills,hills,mountains,mountains,mountains,hills,hills,hills,mountains,hills,sea,plains,sea,sea,sea
plains,plains,plains,plains,plains,plains,plains,tropical_river_valley,tropical_river_valley,hills,hills,hills,hills,hills,hills,hills,hills,hills,hills,sea,sea,sea,sea,sea,sea,sea
